Marco,X_Este,Y_Norte,Lat,Lng,Confrontando,Azimute,Distância
1,"418.610,0029","9.669.427,0674","-2,9905242189790","-39,73240215",ASSOCIAÇÃO DOS PRODUTORES RURAIS DA FAZENDA PATOS," 213°32'49""","368,429"
2,"418.406,4010","9669120,00660","-2,9933007588199","-39,73423604",ASSOCIAÇÃO DOS PRODUTORES RURAIS DA FAZENDA PATOS,"120°43'53"" ","634,036"
3,"418.951,4011","9668796,00660","-2,9962350574347","-39,72933396",ASSOCIAÇÃO DOS PRODUTORES RURAIS DA FAZENDA PATOS," 191°57'24""","521,31"
4,"418.843,4010","9668286,00660","-3,0008480327824","-39,73030883",FRANCISCO DAS CHARGAS SALES," 114°07'56"" ","1.446,96"
5,"420.163,9070","9667694,42710","-3,0062075737095","-39,71843005",MANGUEZAL,"13°39'00"" ","474,989"
6,"420.276,0000","9668156,00000","-3,0020326899996","-39,717418669",MANGUEZAL,"100°24'28""","49,82"
7,"420.325,0000","9668147,00000","-3,0021143977676","-39,716977805",MANGUEZAL,"140°05'57""","230,723"
8,"420.473,0000","9667970,00000","-3,0037164790995","-39,715647098",ÁREA PRESUMIVEL DE MARINHA," 92°49'51""","567,61"
9,"421.039,9172","9667941,96860","-3,0039734062162","-39,710545955",ÁREA PRESUMIVEL DE MARINHA,"302°43'23""","965,825"
10,"420.227,3738","9668464,07150","-2,9992454788453","-39,717854404",ÁREA PRESUMIVEL DE MARINHA,"300°46'12""","1.882,35"
